mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18.996929693222047,0.2381189361647709,0.3585659980773926,0.023058832254901775,0.7,1.0,0.1,1500,3,0.05,0.2,0.5,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 1500, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.5}",-32170.836996491536,-31665.220070697822,-31637.99694616187,-31608.30274491587,-32052.135176778098,-31826.898387009038,236.06484940359772,37
25.804724884033202,1.9043193397183238,1.0893873214721679,0.055862466887060695,0.6,3.0,0.1,800,8,0.15,0.0,0.7,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'n_estimators': 800, 'max_depth': 8, 'learning_rate': 0.15, 'gamma': 0, 'colsample_bytree': 0.7}",-28401.55807337982,-28381.456589541493,-28317.211509636727,-28187.20473695201,-28546.16420922752,-28366.719023747515,116.88276428447105,19
5.123651361465454,0.29170659281340083,0.1226409912109375,0.027505880050574,0.9,2.0,1.0,200,5,0.07,0.2,0.5,"{'subsample': 0.9, 'reg_lambda': 2, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.07, 'gamma': 0.2, 'colsample_bytree': 0.5}",-35476.12688570584,-35067.36941257772,-34724.40692765019,-35144.05986995259,-35462.48052301367,-35174.88872378001,278.889993488824,43
39.31666746139526,0.31997052629404604,1.7575212955474853,0.09431701340090384,0.9,0.5,1.0,1000,8,0.03,0.3,0.9,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 1.0, 'n_estimators': 1000, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.9}",-27558.565468034038,-27294.87115642837,-27293.536534339175,-27318.4309652513,-27901.942841431977,-27473.469393096973,236.27988310837222,9
84.37651987075806,3.343125061425857,5.417919063568116,0.2379883842877125,0.7,1.0,1.0,1500,10,0.15,0.4,0.5,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 1.0, 'n_estimators': 1500, 'max_depth': 10, 'learning_rate': 0.15, 'gamma': 0.4, 'colsample_bytree': 0.5}",-30079.376928956583,-29945.609906154423,-29830.77321222914,-29727.19186981371,-30450.179829800985,-30006.626349390972,250.90368565745732,28
53.99897837638855,7.614248892796644,2.8598528861999513,0.4021893083622244,1.0,2.0,0.0,800,10,0.07,0.2,1.0,"{'subsample': 1.0, 'reg_lambda': 2, 'reg_alpha': 0, 'n_estimators': 800, 'max_depth': 10, 'learning_rate': 0.07, 'gamma': 0.2, 'colsample_bytree': 1.0}",-28292.81626662255,-28283.62936467353,-27970.972352087898,-28346.546781893132,-28819.140612480045,-28342.621075551433,272.4590225489918,18
15.834845542907715,1.4158042148372287,0.4869846343994141,0.06846499287200349,0.5,2.0,0.1,200,9,0.01,0.2,0.5,"{'subsample': 0.5, 'reg_lambda': 2, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.5}",-56550.876277604555,-55566.28122687977,-55099.00031863943,-55818.628281632955,-55673.217652867854,-55741.60075152491,471.0007681000901,49
102.11782660484315,1.232474286857497,3.023689031600952,0.1733623049067608,0.5,0.5,0.5,1500,8,0.01,0.2,0.7,"{'subsample': 0.5, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 1500, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.7}",-28668.773779188254,-28047.0588863753,-28032.401839178496,-28131.78006426478,-28690.725387456816,-28314.14799129273,300.5147349956358,17
69.7704201221466,9.599563442429139,2.291934061050415,0.1492711802552254,0.7,0.5,0.05,1200,8,0.03,0.3,0.8,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 0.05, 'n_estimators': 1200, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.8}",-27220.841824149138,-26826.822313497523,-26833.584112632678,-26834.284404295504,-27329.761897601722,-27009.05891043531,220.11366084018127,6
17.18005394935608,0.28516559655285945,0.6318782329559326,0.03176148489909504,0.8,3.0,1.0,200,10,0.07,0.2,0.5,"{'subsample': 0.8, 'reg_lambda': 3, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.07, 'gamma': 0.2, 'colsample_bytree': 0.5}",-29133.106623522453,-28471.130552823724,-28547.692294662556,-28532.745747197583,-29222.39397304019,-28781.413838249304,325.8492262233393,23
59.085083436965945,0.6706159026510001,2.519237184524536,0.23240518476937463,0.7,2.0,1.0,1200,8,0.03,0.1,0.8,"{'subsample': 0.7, 'reg_lambda': 2, 'reg_alpha': 1.0, 'n_estimators': 1200, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.8}",-27183.398062710872,-26829.978885449633,-26837.150239319017,-26762.0279902671,-27320.035021306932,-26986.51803981071,222.35392930165196,5
